DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100212198,5/29/2010 0:00,5/29/2010 0:00,210,2,Rampart,218,1,110,CRIMINAL HOMICIDE,0342 0411 0432 1402,34,M,H,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,110,998,,,1600 W  SUNSET                       BL,,34.0768,-118.2573
100212490,6/4/2010 0:00,6/3/2010 0:00,2030,2,Rampart,236,1,110,CRIMINAL HOMICIDE,0334 0411 0419 0432 0444 2000,37,F,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110,,,,100 S  MOUNTAIN VIEW                AV,,34.0664,-118.2697
100213646,6/24/2010 0:00,6/24/2010 0:00,1610,2,Rampart,219,1,110,CRIMINAL HOMICIDE,0321 0342 0344 0430 1100 1402,27,M,W,239,MEDICAL MARIJUANA FACILITIES/BUSINESSES,102,HAND GUN,AA,Adult Arrest,110,998,,,1300 W  SUNSET                       BL,,34.072,-118.2508
100214154,7/5/2010 0:00,7/4/2010 0:00,2220,2,Rampart,299,1,110,CRIMINAL HOMICIDE,0302 0319 0334 0342 0430 0906 1100 1259 1402,14,F,H,101,STREET,106,UNKNOWN FIREARM,AA,Adult Arrest,110,998,,,1300    TOBERMAN                     ST,,34.0442,-118.2758
100214868,7/19/2010 0:00,7/19/2010 0:00,2051,2,Rampart,291,1,110,CRIMINAL HOMICIDE,0305 0430 0432 0906 1100 1402,19,M,H,103,ALLEY,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,BONNIE BRAE,18TH                         ST,34.0413,-118.2829
100216825,8/25/2010 0:00,8/25/2010 0:00,2330,2,Rampart,237,1,110,CRIMINAL HOMICIDE,0432 0430 1100 1402,16,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,TEMPLE,UNION,34.0687,-118.2632
100217495,9/9/2010 0:00,9/9/2010 0:00,730,2,Rampart,251,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402,19,M,H,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,998,,,400 S  RAMPART                      BL,,34.0649,-118.2797
100218364,9/25/2010 0:00,9/25/2010 0:00,1919,2,Rampart,245,1,110,CRIMINAL HOMICIDE,0416 0430 0906 1100 1402,30,F,H,109,PARK/PLAYGROUND,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,6TH                          ST,ALVARADO,34.0601,-118.2761
100220566,11/8/2010 0:00,11/7/2010 0:00,153,2,Rampart,217,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1310 1407,19,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,110,998,,,400 N  WESTLAKE                     AV,,34.0698,-118.2665
100220587,11/7/2010 0:00,11/7/2010 0:00,2152,2,Rampart,265,1,110,CRIMINAL HOMICIDE,0302 0334 0430 1100 1402,22,M,H,102,SIDEWALK,101,REVOLVER,AA,Adult Arrest,110,998,,,8TH,ALVARADO,34.0549,-118.2778
100306408,2/7/2010 0:00,2/7/2010 0:00,350,3,Southwest,363,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1310 1309,44,M,B,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,4000    ABOURNE                      RD,,34.0125,-118.3435
100306409,2/7/2010 0:00,2/7/2010 0:00,5,3,Southwest,392,1,110,CRIMINAL HOMICIDE,0430 0906 1100,23,M,B,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,4500    3RD                          AV,,34.0028,-118.3203
100306411,2/7/2010 0:00,2/7/2010 0:00,430,3,Southwest,315,1,110,CRIMINAL HOMICIDE,0342 0371 0430 0906 1100 1822,22,M,B,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,,,,2300 W  23RD                         ST,,34.036,-118.3148
100309514,3/24/2010 0:00,3/23/2010 0:00,1752,3,Southwest,334,1,110,CRIMINAL HOMICIDE,0312 0430 0906 1100 1402 1407,51,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,110,,,,4100 W  29TH                         ST,,34.0295,-118.3338
100309977,3/31/2010 0:00,3/31/2010 0:00,955,3,Southwest,394,1,110,CRIMINAL HOMICIDE,0342 0430 0906 1100 1309 1402 1822,22,M,B,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,4100    SUTRO                        AV,,34.0099,-118.3231
100313407,5/17/2010 0:00,5/16/2010 0:00,1815,3,Southwest,334,1,110,CRIMINAL HOMICIDE,0400 0416 0430 0429 0913 1100 1300,55,F,B,121,YARD (RESIDENTIAL/BUSINESS),101,REVOLVER,IC,Invest Cont,110,,,,3000    11TH                         AV,,34.0277,-118.3293
100313791,5/22/2010 0:00,5/21/2010 0:00,1440,3,Southwest,334,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1240 1310 1501,20,M,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,4200 W  28TH                         ST,,34.0313,-118.3316
100315068,6/9/2010 0:00,6/8/2010 0:00,1725,3,Southwest,357,1,110,CRIMINAL HOMICIDE,0302 0342 0906 1100 1402 1407,34,M,B,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,,,,3400 S  BUDLONG                      AV,,34.0255,-118.2959
100315070,6/9/2010 0:00,6/8/2010 0:00,1720,3,Southwest,356,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1310 1402 1407,41,M,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,,,,1400 W  35TH                         PL,,34.0237,-118.3002
100315254,6/12/2010 0:00,6/12/2010 0:00,225,3,Southwest,391,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1402,30,M,B,101,STREET,102,HAND GUN,AA,Adult Arrest,110,,,,4100    DON TOMASO                   DR,,34.0055,-118.3458
100318775,7/29/2010 0:00,7/29/2010 0:00,2245,3,Southwest,394,1,110,CRIMINAL HOMICIDE,0430 1100 1310 1402 1407 1822,27,F,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,4100    4TH                          AV,,34.0108,-118.3214
100322841,9/28/2010 0:00,9/28/2010 0:00,720,3,Southwest,398,1,110,CRIMINAL HOMICIDE,0302 0345 0430 0906 1100 1402,29,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,110,998,,,S  HOOVER                       ST,W  MARTIN LUTHER KING JR        BL,34.0111,-118.2872
100323410,10/6/2010 0:00,10/6/2010 0:00,1430,3,Southwest,392,1,110,CRIMINAL HOMICIDE,0342 0430 0429 1100 1309 1822,25,M,B,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,48TH                         ST,3RD                          AV,34.0001,-118.3203
100325111,10/31/2010 0:00,10/30/2010 0:00,1830,3,Southwest,353,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1402,18,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,110,998,,,3900    CHESAPEAKE                   AV,,34.0227,-118.3452
100327035,11/30/2010 0:00,11/23/2010 0:00,420,3,Southwest,394,1,110,CRIMINAL HOMICIDE,0302 0327 0430 1100 1309 1407 1402,49,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,4300    ARLINGTON                    AV,,34.0055,-118.3182
100328036,12/14/2010 0:00,12/13/2010 0:00,2055,3,Southwest,396,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1259 1402 1407,17,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,800 W  43RD                         ST,,34.0055,-118.2872
100400704,3/5/2010 0:00,3/5/2010 0:00,1807,4,Hollenbeck,466,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309,19,M,H,104,DRIVEWAY,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,,,,2400    MICHIGAN                     AV,,34.0453,-118.2088
100400992,5/25/2010 0:00,5/25/2010 0:00,730,4,Hollenbeck,404,1,110,CRIMINAL HOMICIDE,0302 0407 0430 1100,20,M,B,105,PEDESTRIAN OVERCROSSING,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,5500    VIA MARISOL,,34.1045,-118.185
100401350,8/28/2010 0:00,8/28/2010 0:00,1934,4,Hollenbeck,424,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1251 1259 1402 1407,15,M,H,109,PARK/PLAYGROUND,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110,998,,,MISSION                      RD,SELIG                        PL,34.0685,-118.201
100401404,9/16/2010 0:00,9/16/2010 0:00,2330,4,Hollenbeck,489,1,110,CRIMINAL HOMICIDE,0411 0913 1243 1401 1402 1416 1813 2000,34,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,OTHER KNIFE,AA,Adult Arrest,110,998,,,3000    ROSALIND                     PL,,34.024,-118.2126
100401559,11/3/2010 0:00,10/31/2010 0:00,2343,4,Hollenbeck,457,1,110,CRIMINAL HOMICIDE,0602 1243 1309 1402,19,F,H,501,SINGLE FAMILY DWELLING,307,VEHICLE,AA,Adult Arrest,110,998,,,2700    CINCINNATI                   ST,,34.046,-118.2035
100401560,10/31/2010 0:00,10/31/2010 0:00,2342,4,Hollenbeck,457,1,110,CRIMINAL HOMICIDE,0602 1257 1309,0,F,H,501,SINGLE FAMILY DWELLING,307,VEHICLE,AA,Adult Arrest,110,,,,2700    CINCINNATI                   ST,,34.046,-118.2035
100401700,12/4/2010 0:00,12/4/2010 0:00,1900,4,Hollenbeck,448,1,110,CRIMINAL HOMICIDE,0302 0430 0906 0913 1100,41,M,H,108,PARKING LOT,106,UNKNOWN FIREARM,AA,Adult Arrest,110,,,,1500    MURCHISON                    ST,,34.0594,-118.1958
100401726,12/15/2010 0:00,12/15/2010 0:00,1210,4,Hollenbeck,467,1,110,CRIMINAL HOMICIDE,0302 0326 0334 0342 0430 1100 1309 1402 1409 1407,27,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,2600 E  3RD                          ST,,34.0403,-118.2088
100404324,1/8/2010 0:00,1/8/2010 0:00,2344,4,Hollenbeck,497,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1240 1310 1407,21,F,H,101,STREET,107,OTHER FIREARM,IC,Invest Cont,110,998,,,LORENA,OLYMPIC,34.0188,-118.2066
100407944,3/29/2010 0:00,3/29/2010 0:00,1305,4,Hollenbeck,466,1,110,CRIMINAL HOMICIDE,0430 0906 1100,25,M,H,103,ALLEY,106,UNKNOWN FIREARM,AA,Adult Arrest,110,,,,2500    MICHIGAN                     AV,,34.0447,-118.2075
100407949,3/30/2010 0:00,3/29/2010 0:00,2040,4,Hollenbeck,415,1,110,CRIMINAL HOMICIDE,0202 0342 0430 0906 1100 1402 1407,20,M,H,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,998,,,2600    SICHEL                       ST,,34.0765,-118.2131
100408074,4/1/2010 0:00,4/1/2010 0:00,1955,4,Hollenbeck,471,1,110,CRIMINAL HOMICIDE,0302 0906 1100 1309 1402,19,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,110,998,,,500 S  CLARENCE                     ST,,34.0409,-118.2234
100408524,4/10/2010 0:00,4/10/2010 0:00,2245,4,Hollenbeck,407,1,110,CRIMINAL HOMICIDE,0305 0430 0906 1100 1309 1310 1312 1407 1402,23,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,998,,,3500    MONTEREY                     RD,,34.0862,-118.1875
100409753,5/10/2010 0:00,5/10/2010 0:00,220,4,Hollenbeck,468,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1251,16,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,3200 E  1ST                          ST,,34.0388,-118.1988
100410317,5/22/2010 0:00,5/22/2010 0:00,205,4,Hollenbeck,442,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1407 1409 1402,27,M,H,101,STREET,106,UNKNOWN FIREARM,AA,Adult Arrest,110,998,,,500    GALLARDO                     ST,,34.0535,-118.2238
100410690,5/30/2010 0:00,5/30/2010 0:00,1125,4,Hollenbeck,456,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1251 1259 1309 1402 1407,17,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,800 N  FICKETT                      ST,,34.0503,-118.203
100415279,9/18/2010 0:00,9/18/2010 0:00,2238,4,Hollenbeck,499,1,110,CRIMINAL HOMICIDE,0430 1100 1251 1402,20,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,110,998,,,ESPERANZA                    ST,EMERY                        ST,34.014,-118.201
100415689,9/25/2010 0:00,9/25/2010 0:00,205,4,Hollenbeck,499,1,110,CRIMINAL HOMICIDE,0302 0312 0430 1100 1402 1407,22,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,998,,,1200    LOS PALOS                    ST,,34.0189,-118.1954
100418261,11/23/2010 0:00,11/23/2010 0:00,1950,4,Hollenbeck,464,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1409 1402,30,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,998,,,200 N  CHICAGO                      ST,,34.0462,-118.2114
100418331,11/26/2010 0:00,11/26/2010 0:00,1105,4,Hollenbeck,453,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309 1313 1402,25,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,1400    PENNSYLVANIA                 AV,,34.0512,-118.221
100419406,12/23/2010 0:00,12/23/2010 0:00,1403,4,Hollenbeck,453,1,110,CRIMINAL HOMICIDE,0326 0342 0430 0906 1100 1309 1313 1402 1416 1816,18,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,1400 E  CESAR E CHAVEZ               AV,,34.0528,-118.2212
100500920,3/3/2010 0:00,3/2/2010 0:00,800,5,Harbor,503,1,110,CRIMINAL HOMICIDE,0344 0411 0913 1402,47,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205,KITCHEN KNIFE,AA,Adult Arrest,110,998,,,1000 W  253RD                        ST,,33.7947,-118.2928
100502948,12/12/2010 0:00,12/12/2010 0:00,605,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0411 0430 0906 1100 1402,18,M,H,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,110,998,,,21400    HALLDALE                     AV,,33.8345,-118.3017
100502998,2/16/2010 0:00,2/16/2010 0:00,1200,5,Harbor,587,1,110,CRIMINAL HOMICIDE,416,63,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110,,,,500 W  40TH                         ST,,33.7079,-118.2879
100508808,4/3/2010 0:00,4/3/2010 0:00,100,5,Harbor,514,1,110,CRIMINAL HOMICIDE,0430 1100 1300 1309 1310 1407,38,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,110,,,,1200    FRIGATE                      AV,,33.786,-118.2779
100511148,5/17/2010 0:00,5/17/2010 0:00,2238,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1309 1402,34,M,W,733,BAR/SPORTS BAR (OPEN DAY & NIGHT),102,HAND GUN,AA,Adult Arrest,110,998,,,400 N  AVALON                       BL,,33.7742,-118.262
100512172,6/4/2010 0:00,6/4/2010 0:00,2330,5,Harbor,524,1,110,CRIMINAL HOMICIDE,0326 0430 0906 1100 1309,22,M,H,121,YARD (RESIDENTIAL/BUSINESS),102,HAND GUN,AO,Adult Other,110,,,,1200 W  D                            ST,,33.7734,-118.2768
100513208,6/21/2010 0:00,6/20/2010 0:00,1100,5,Harbor,585,1,110,CRIMINAL HOMICIDE,0430 1100 1402,69,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",106,UNKNOWN FIREARM,IC,Invest Cont,110,998,,,700 W  19TH                         ST,,33.727,-118.2924
100513802,7/5/2010 0:00,7/5/2010 0:00,2218,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1407,33,M,W,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,998,,,1600 W  219TH                        ST,,33.8291,-118.3065
100513952,7/9/2010 0:00,7/9/2010 0:00,215,5,Harbor,589,1,110,CRIMINAL HOMICIDE,411,10,F,O,501,SINGLE FAMILY DWELLING,205,KITCHEN KNIFE,IC,Invest Cont,110,,,,200 W  29TH                         ST,,33.7178,-118.2853
100514657,7/23/2010 0:00,7/23/2010 0:00,720,5,Harbor,511,1,110,CRIMINAL HOMICIDE,0342 0430 0432 1100 1306 1309 1402,24,M,H,104,DRIVEWAY,102,HAND GUN,IC,Invest Cont,110,998,,,25600    SENATOR                      AV,,33.7915,-118.3027
100515076,8/1/2010 0:00,8/1/2010 0:00,540,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0411 0913 0907,45,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110,,,,1300 W  CARSON                       ST,,33.8316,-118.2996
100515478,8/10/2010 0:00,8/10/2010 0:00,40,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0411 0913 1300 1402 1821 2000,36,M,H,503,HOTEL,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110,998,,,800    LAKME                        AV,,33.7802,-118.2593
100517178,9/16/2010 0:00,9/16/2010 0:00,1950,5,Harbor,514,1,110,CRIMINAL HOMICIDE,0202 0430 0906 1100 1309 1310 1402,24,M,B,122,"VEHICLE, PASSENGER/TRUCK",102,HAND GUN,AA,Adult Arrest,110,998,,,PACIFIC COAST,FIGUEROA,33.7905,-118.2811
100518465,10/13/2010 0:00,10/13/2010 0:00,920,5,Harbor,518,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1309 1409 1407,17,M,H,124,BUS STOP,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,AVALON,Q,33.7954,-118.2636
100520519,11/29/2010 0:00,11/29/2010 0:00,2000,5,Harbor,526,1,110,CRIMINAL HOMICIDE,0416 0430 0906 1100 1402,27,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,900 N  FRIES                        AV,,33.7815,-118.265
100521176,12/12/2010 0:00,12/12/2010 0:00,1025,5,Harbor,524,1,110,CRIMINAL HOMICIDE,0430 0906 1100,29,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,1100    ALTON                        ST,,33.7771,-118.2753
100521492,1/13/2010 0:00,1/13/2010 0:00,1145,5,Harbor,565,1,110,CRIMINAL HOMICIDE,0400 0907,34,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,110,,,,800 S  PACIFIC                      AV,,33.737,-118.2879
100604130,1/2/2010 0:00,1/2/2010 0:00,50,6,Hollywood,657,1,110,CRIMINAL HOMICIDE,0416 1402,36,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110,998,,,1000 N  WESTERN                      AV,,34.0885,-118.3092
100604285,1/4/2010 0:00,1/4/2010 0:00,1603,6,Hollywood,678,1,110,CRIMINAL HOMICIDE,0906 1100 1402,20,M,H,101,STREET,101,REVOLVER,AA,Adult Arrest,110,998,,,900 N  SERRANO                      AV,,34.0863,-118.3064
100608895,3/12/2010 0:00,3/11/2010 0:00,1320,6,Hollywood,669,1,110,CRIMINAL HOMICIDE,0430 1100 1402,46,F,W,102,SIDEWALK,106,UNKNOWN FIREARM,AA,Adult Arrest,110,998,,,SUNSET,KINGSLEY,34.0981,-118.3032
100610093,3/26/2010 0:00,3/26/2010 0:00,2000,6,Hollywood,667,1,110,CRIMINAL HOMICIDE,1100 1501,38,F,X,710,OTHER PREMISE,102,HAND GUN,AA,Adult Arrest,110,,,,5800    LEXINGTON                    AV,,34.0928,-118.3157
100611467,4/6/2010 0:00,4/6/2010 0:00,200,6,Hollywood,637,1,110,CRIMINAL HOMICIDE,0304 0400 0416 0429 0444 0601 1822,49,M,W,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110,979,,,6200    HOLLYWOOD                    BL,,34.1017,-118.3245
100614460,4/28/2010 0:00,4/28/2010 0:00,1130,6,Hollywood,615,1,110,CRIMINAL HOMICIDE,1821 2000,46,F,B,507,CONDOMINIUM/TOWNHOUSE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110,,,,2700    CAHUENGA                     BL,,34.1171,-118.3373
100614541,5/26/2010 0:00,5/26/2010 0:00,220,6,Hollywood,668,1,110,CRIMINAL HOMICIDE,0430 0906 1402,28,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,998,,,1200 N  SAINT ANDREWS                PL,,34.0928,-118.3109
100616721,6/25/2010 0:00,6/24/2010 0:00,2000,6,Hollywood,647,1,110,CRIMINAL HOMICIDE,0339 1501,39,M,W,239,MEDICAL MARIJUANA FACILITIES/BUSINESSES,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,110,,,,1600 N  EL CENTRO                    AV,,34.0998,-118.3237
100617017,6/29/2010 0:00,6/29/2010 0:00,1450,6,Hollywood,657,1,110,CRIMINAL HOMICIDE,0302 0326 0334 0430 0906 1100 1310 1309 1402,20,M,H,101,STREET,101,REVOLVER,AA,Adult Arrest,110,998,,,SAINT ANDREWS                PL,SANTA MONICA                 BL,34.0908,-118.3114
100618599,7/19/2010 0:00,7/19/2010 0:00,1235,6,Hollywood,648,1,110,CRIMINAL HOMICIDE,0430 1100 1402,50,M,W,203,OTHER BUSINESS,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110,998,,,5400    SUNSET                       BL,,34.0981,-118.3071
100624866,10/10/2010 0:00,10/10/2010 0:00,1630,6,Hollywood,649,1,110,CRIMINAL HOMICIDE,0411 0554 1402,31,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205,KITCHEN KNIFE,AA,Adult Arrest,110,998,,,1500    WINONA                       BL,,34.0981,-118.3022
